id,name,circonscription,current_party,path
11789,Marc Tanguay,LaFontaine,Parti libéral du Québec,/fr/deputes/tanguay-marc-11789/index.html
17923,Monsef Derraji,Nelligan,Parti libéral du Québec,/fr/deputes/derraji-monsef-17923/index.html
17911,Jennifer Maccarone,Westmount–Saint-Louis,Parti libéral du Québec,/fr/deputes/maccarone-jennifer-17911/index.html
1171,Filomena Rotiroti,Jeanne-Mance–Viger,Parti libéral du Québec,/fr/deputes/rotiroti-filomena-1171/index.html
20141,Alex Boissonneault,,Parti québécois,/fr/deputes/boissonneault-alex-20141/index.html
17925,Gilles Bélanger,,Indépendant,/fr/deputes/belanger-gilles-17925/index.html
20193,Marie-Karlynn Laflamme,Chicoutimi,Parti québécois,/fr/deputes/laflamme-marie-karlynn-20193/index.html
19269,Christine Fréchette,Sanguinet,Coalition avenir Québec,/fr/deputes/frechette-christine-19269/index.html
17903,Ian Lafrenière,Vachon,Coalition avenir Québec,/fr/deputes/lafreniere-ian-17903/index.html
17929,Eric Girard,Groulx,Coalition avenir Québec,/fr/deputes/girard-eric-17929/index.html
17847,Sonia LeBel,Champlain,Coalition avenir Québec,/fr/deputes/lebel-sonia-17847/index.html
209,Bernard Drainville,Lévis,Coalition avenir Québec,/fr/deputes/drainville-bernard-209/index.html
19281,Sonia Bélanger,Prévost,Coalition avenir Québec,/fr/deputes/belanger-sonia-19281/index.html
15359,Simon Jolin-Barrette,Borduas,Coalition avenir Québec,/fr/deputes/jolin-barrette-simon-15359/index.html
17927,Mathieu Lacombe,Papineau,Coalition avenir Québec,/fr/deputes/lacombe-mathieu-17927/index.html
17899,Jean Boulet,Trois-Rivières,Coalition avenir Québec,/fr/deputes/boulet-jean-17899/index.html
19277,Pascale Déry,Repentigny,Coalition avenir Québec,/fr/deputes/dery-pascale-19277/index.html
19297,Martine Biron,Chutes-de-la-Chaudière,Coalition avenir Québec,/fr/deputes/biron-martine-19297/index.html
17831,Samuel Poulin,Beauce-Sud,Coalition avenir Québec,/fr/deputes/poulin-samuel-17831/index.html
19251,Catherine Blouin,Bonaventure,Coalition avenir Québec,/fr/deputes/blouin-catherine-19251/index.html
12165,Donald Martel,Nicolet-Bécancour,Coalition avenir Québec,/fr/deputes/martel-donald-12165/index.html
195,Benoit Charette,Deux-Montagnes,Coalition avenir Québec,/fr/deputes/charette-benoit-195/index.html
19273,Amélie Dionne,Rivière-du-Loup–Témiscouata,Coalition avenir Québec,/fr/deputes/dionne-amelie-19273/index.html
17931,Chantal Rouleau,Pointe-aux-Trembles,Coalition avenir Québec,/fr/deputes/rouleau-chantal-17931/index.html
19255,Karine Boivin Roy,,Coalition avenir Québec,/fr/deputes/boivin-roy-karine-19255/index.html
19291,Kariane Bourassa,Charlevoix–Côte-de-Beaupré,Coalition avenir Québec,/fr/deputes/bourassa-kariane-19291/index.html
17957,Eric Girard,Lac-Saint-Jean,Coalition avenir Québec,/fr/deputes/girard-eric-17957/index.html
13,Daniel Bernard,Rouyn-Noranda–Témiscamingue,Coalition avenir Québec,/fr/deputes/bernard-daniel-13/index.html
19283,Désirée McGraw,Notre-Dame-de-Grâce,Parti libéral du Québec,/fr/deputes/mcgraw-desiree-19283/index.html
19307,Frédéric Beauchemin,Marguerite-Bourgeoys,Parti libéral du Québec,/fr/deputes/beauchemin-frederic-19307/index.html
17893,Lionel Carmant,Taillon,Coalition avenir Québec,/fr/deputes/carmant-lionel-17893/index.html
19257,France-Élaine Duranceau,Bertrand,Coalition avenir Québec,/fr/deputes/duranceau-france-elaine-19257/index.html
11,François Bonnardel,Granby,Coalition avenir Québec,/fr/deputes/bonnardel-francois-11/index.html
19303,Kateri Champagne Jourdain,Duplessis,Coalition avenir Québec,/fr/deputes/champagne-jourdain-kateri-19303/index.html
15361,Jean-François Roberge,Chambly,Coalition avenir Québec,/fr/deputes/roberge-jean-francois-15361/index.html
17873,Christopher Skeete,Sainte-Rose,Coalition avenir Québec,/fr/deputes/skeete-christopher-17873/index.html
18071,Marie-Louise Tardif,Laviolette–Saint-Maurice,Coalition avenir Québec,/fr/deputes/tardif-marie-louise-18071/index.html
15403,Mathieu Lemay,Masson,Coalition avenir Québec,/fr/deputes/lemay-mathieu-15403/index.html
19315,Alice Abou-Khalil,Fabre,Coalition avenir Québec,/fr/deputes/abou-khalil-alice-19315/index.html
19323,Suzanne Tremblay,Hull,Coalition avenir Québec,/fr/deputes/tremblay-suzanne-19323/index.html
17845,Isabelle Charest,Brome-Missisquoi,Coalition avenir Québec,/fr/deputes/charest-isabelle-17845/index.html
17837,Caroline Proulx,Berthier,Coalition avenir Québec,/fr/deputes/proulx-caroline-17837/index.html
17945,Isabelle Lecours,Lotbinière-Frontenac,Coalition avenir Québec,/fr/deputes/lecours-isabelle-17945/index.html
18073,Louis-Charles Thouin,Rousseau,Coalition avenir Québec,/fr/deputes/thouin-louis-charles-18073/index.html
485,Éric Caire,La Peltrie,Coalition avenir Québec,/fr/deputes/caire-eric-485/index.html
19063,Shirley Dorismond,Marie-Victorin,Coalition avenir Québec,/fr/deputes/dorismond-shirley-19063/index.html
17891,Marilyne Picard,Soulanges,Coalition avenir Québec,/fr/deputes/picard-marilyne-17891/index.html
19351,Carole Mallette,Huntingdon,Coalition avenir Québec,/fr/deputes/mallette-carole-19351/index.html
19309,Céline Haytayan,Laval-des-Rapides,Coalition avenir Québec,/fr/deputes/haytayan-celine-19309/index.html
17855,Jonatan Julien,Charlesbourg,Coalition avenir Québec,/fr/deputes/julien-jonatan-17855/index.html
17905,Mario Asselin,Vanier-Les Rivières,Coalition avenir Québec,/fr/deputes/asselin-mario-17905/index.html
19321,François St-Louis,Joliette,Coalition avenir Québec,/fr/deputes/st-louis-francois-19321/index.html
18247,Nancy Guillemette,Roberval,Coalition avenir Québec,/fr/deputes/guillemette-nancy-18247/index.html
17959,Chantale Jeannotte,Labelle,Coalition avenir Québec,/fr/deputes/jeannotte-chantale-17959/index.html
19325,Audrey Bogemans,,Coalition avenir Québec,/fr/deputes/bogemans-audrey-19325/index.html
19317,Yannick Gagnon,Jonquière,Coalition avenir Québec,/fr/deputes/gagnon-yannick-19317/index.html
17901,Denis Lamothe,,Coalition avenir Québec,/fr/deputes/lamothe-denis-17901/index.html
17833,Claude Reid,Beauharnois,Coalition avenir Québec,/fr/deputes/reid-claude-17833/index.html
17827,Agnès Grondin,,Coalition avenir Québec,/fr/deputes/grondin-agnes-17827/index.html
19259,Valérie Schmaltz,Vimont,Coalition avenir Québec,/fr/deputes/schmaltz-valerie-19259/index.html
16885,Geneviève Guilbault,Louis-Hébert,Coalition avenir Québec,/fr/deputes/guilbault-genevieve-16885/index.html
17877,Geneviève Hébert,Saint-François,Coalition avenir Québec,/fr/deputes/hebert-genevieve-17877/index.html
17851,Mathieu Lévesque,Chapleau,Coalition avenir Québec,/fr/deputes/levesque-mathieu-17851/index.html
17835,Stéphanie Lachance,Bellechasse,Coalition avenir Québec,/fr/deputes/lachance-stephanie-17835/index.html
19593,Guillaume Cliche-Rivard,Saint-Henri–Sainte-Anne,Québec solidaire,/fr/deputes/cliche-rivard-guillaume-19593/index.html
19267,Etienne Grandmont,Taschereau,Québec solidaire,/fr/deputes/grandmont-etienne-19267/index.html
