"full_name","province_or_state","district_id","gender","career","type","election_date","year","exit_year","party_id","legislature_id","Lstart_date","Lend_date","other_names","country_id","institution_id"
"line beauchamp","QC","sauve","f","business","election",1998-11-30,1998,"2012","PLQ",36,1998-11-30,2003-02-12,"beauchamp","CAN","QCASSNAT"
"line beauchamp","QC","bourassasauve","f","business","election",2003-04-14,2003,"2012","PLQ",37,2003-04-14,2007-02-21,"beauchamp","CAN","QCASSNAT"
"line beauchamp","QC","bourassasauve","f","business","election",2007-03-26,2007,"2012","PLQ",38,2007-03-26,2008-11-05,"beauchamp","CAN","QCASSNAT"
"line beauchamp","QC","bourassasauve","f","business","election",2008-12-08,2008,"2012","PLQ",39,2008-12-08,2012-08-01,"beauchamp","CAN","QCASSNAT"
"regent beaudet","QC","argenteuil","m","medicine","election",1994-09-12,1994,"1997","PLQ",35,1994-09-12,1998-11-25,"beaudet","CAN","QCASSNAT"
"denise beaudoin","QC","mirabel","f","law","election",2003-04-14,2003,"2007","PQ",37,2003-04-14,2007-02-21,"beaudet","CAN","QCASSNAT"
"denise beaudoin","QC","mirabel","f","law","election",2008-12-08,2008,"2014","PQ",39,2008-12-08,2012-08-01,NA,"CAN","QCASSNAT"
"denise beaudoin","QC","mirabel","f","law","election",2012-09-04,2012,"2014","PQ",40,2012-09-04,2014-03-05,"beaudet","CAN","QCASSNAT"
"louise beaudoin","QC","chambly","f","business","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,"beaudet","CAN","QCASSNAT"
"louise beaudoin","QC","chambly","f","business","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"beaudet","CAN","QCASSNAT"
"louise beaudoin","QC","rosemont","f","business","election",2008-12-08,2008,"2012","PQ",39,2008-12-08,2012-08-01,NA,"CAN","QCASSNAT"
"francois beaulne","QC","margueritedyouville","m","business","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,"beaulne","CAN","QCASSNAT"
"francois beaulne","QC","margueritedyouville","m","business","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"beaulne","CAN","QCASSNAT"
"yves beaumier","QC","champlain","m","education","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,"beaumier","CAN","QCASSNAT"
"yves beaumier","QC","champlain","m","education","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"beaumier","CAN","QCASSNAT"
"pascal beaupre","QC","joliette","m","law","election",2007-03-26,2007,"2008","ADQ",38,2007-03-26,2008-11-05,"beaupre","CAN","QCASSNAT"
"claude bechard","QC","kamouraskatemiscouata","m","business","byelection",1994-09-12,1994,"2010","PLQ",35,1994-09-12,1998-11-25,"bechard","CAN","QCASSNAT"
"claude bechard","QC","kamouraskatemiscouata","m","business","election",1998-11-30,1998,"2010","PLQ",36,1998-11-30,2003-02-12,"bechard","CAN","QCASSNAT"
"claude bechard","QC","kamouraskatemiscouata","m","business","election",2003-04-14,2003,"2010","PLQ",37,2003-04-14,2007-02-21,"bechard","CAN","QCASSNAT"
"claude bechard","QC","kamouraskatemiscouata","m","business","election",2007-03-26,2007,"2010","PLQ",38,2007-03-26,2008-11-05,"bechard","CAN","QCASSNAT"
"claude bechard","QC","kamouraskatemiscouata","m","business","election",2008-12-08,2008,"2010","PLQ",39,2008-12-08,2012-08-01,"bechard","CAN","QCASSNAT"
"stephane bedard","QC","chicoutimi","m","law","election",1998-11-30,1998,"2015","PQ",36,1998-11-30,2003-02-12,"bedard","CAN","QCASSNAT"
"stephane bedard","QC","chicoutimi","m","law","election",2003-04-14,2003,"2015","PQ",37,2003-04-14,2007-02-21,"bedard","CAN","QCASSNAT"
"stephane bedard","QC","chicoutimi","m","law","election",2007-03-26,2007,"2015","PQ",38,2007-03-26,2008-11-05,"bedard","CAN","QCASSNAT"
"stephane bedard","QC","chicoutimi","m","law","election",2008-12-08,2008,"2015","PQ",39,2008-12-08,2012-08-01,"bedard","CAN","QCASSNAT"
"stephane bedard","QC","chicoutimi","m","law","election",2012-09-04,2012,"2015","PQ",40,2012-09-04,2014-03-05,"bedard","CAN","QCASSNAT"
"stephane bedard","QC","chicoutimi","m","law","election",2014-04-07,2014,"2015","PQ",41,2014-04-07,2018-08-23,"bedard","CAN","QCASSNAT"
"paul begin","QC","louishebert","m","law","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,"begin","CAN","QCASSNAT"
"paul begin","QC","louishebert","m","law","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"begin","CAN","QCASSNAT"
"gilles belanger","QC","orford","m","business","election",2018-10-01,2018,"NA","CAQ",42,2018-10-01,2022-08-28,"belanger ; m. belanger","CAN","QCASSNAT"
"gilles belanger","QC","orford","m","business","election",2022-10-03,2022,"NA","CAQ",43,NA,NA,"belanger ; m. belanger","CAN","QCASSNAT"
"madeleine belanger","QC","meganticcompton","f","business","election",1994-09-12,1994,"2003","PLQ",35,1994-09-12,1998-11-25,NA,"CAN","QCASSNAT"
"madeleine belanger","QC","meganticcompton","f","business","election",1998-11-30,1998,"2003","PLQ",36,1998-11-30,2003-02-12,"belanger","CAN","QCASSNAT"
"pierre belanger","QC","anjou","m","law","election",1994-09-12,1994,"1998","PQ",35,1994-09-12,1998-11-25,NA,"CAN","QCASSNAT"
"marc bellemare","QC","vanier","m","law","election",2003-04-14,2003,"2004","PLQ",37,2003-04-14,2007-02-21,"bellemare","CAN","QCASSNAT"
"francois benjamin","QC","berthier","m","business","election",2007-03-26,2007,"2008","ADQ",38,2007-03-26,2008-11-05,"benjamin","CAN","QCASSNAT"
"frantz benjamin","QC","viau","m","communitywork","election",2018-10-01,2018,"NA","PLQ",42,2018-10-01,2022-08-28,"benjamin ; m. benjamin ; m.benjamin","CAN","QCASSNAT"
"hubert benoit","QC","montmorency","m","business","election",2007-03-26,2007,"2008","ADQ",38,2007-03-26,2008-11-05,"benoit","CAN","QCASSNAT"
"robert benoit","QC","orford","m","business","election",1994-09-12,1994,"2003","PLQ",35,1994-09-12,1998-11-25,"benoit","CAN","QCASSNAT"
"robert benoit","QC","orford","m","business","election",1998-11-30,1998,"2003","PLQ",36,1998-11-30,2003-02-12,"benoit","CAN","QCASSNAT"
"jeanpaul bergeron","QC","iberville","m","education","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,"bergeron","CAN","QCASSNAT"
"stephane bergeron","QC","vercheres","m","education","byelection",2003-04-14,2003,"2018","PQ",37,2003-04-14,2007-02-21,"bergeron","CAN","QCASSNAT"
"stephane bergeron","QC","vercheres","m","education","election",2007-03-26,2007,"2018","PQ",38,2007-03-26,2008-11-05,"bergeron","CAN","QCASSNAT"
"stephane bergeron","QC","vercheres","m","education","election",2008-12-08,2008,"2018","PQ",39,2008-12-08,2012-08-01,"bergeron","CAN","QCASSNAT"
"stephane bergeron","QC","vercheres","m","education","election",2012-09-04,2012,"2018","PQ",40,2012-09-04,2014-03-05,"bergeron","CAN","QCASSNAT"
"stephane bergeron","QC","vercheres","m","education","election",2014-04-07,2014,"2018","PQ",41,2014-04-07,2018-08-23,"bergeron","CAN","QCASSNAT"
"lawrence bergman","QC","darcymcgee","m","notarialpractice","election",1994-09-12,1994,"2014","PLQ",35,1994-09-12,1998-11-25,"bergman","CAN","QCASSNAT"
"lawrence bergman","QC","darcymcgee","m","notarialpractice","election",1998-11-30,1998,"2014","PLQ",36,1998-11-30,2003-02-12,"bergman","CAN","QCASSNAT"
"lawrence bergman","QC","darcymcgee","m","notarialpractice","election",2003-04-14,2003,"2014","PLQ",37,2003-04-14,2007-02-21,"bergman","CAN","QCASSNAT"
"lawrence bergman","QC","darcymcgee","m","notarialpractice","election",2007-03-26,2007,"2014","PLQ",38,2007-03-26,2008-11-05,"bergman","CAN","QCASSNAT"
"lawrence bergman","QC","darcymcgee","m","notarialpractice","election",2008-12-08,2008,"2014","PLQ",39,2008-12-08,2012-08-01,"bergman","CAN","QCASSNAT"
"lawrence bergman","QC","darcymcgee","m","notarialpractice","election",2012-09-04,2012,"2014","PLQ",40,2012-09-04,2014-03-05,"bergman","CAN","QCASSNAT"
"daniel bernard","QC","rouynnorandatemiscamingue","m","engineering","election",2003-04-14,2003,"2007","PLQ",37,2003-04-14,2007-02-21,"bernard","CAN","QCASSNAT"
"daniel bernard","QC","rouynnorandatemiscamingue","m","engineering","election",2008-12-08,2008,"2012","PLQ",39,2008-12-08,2012-08-01,"bernard","CAN","QCASSNAT"
"daniel bernard","QC","rouynnorandatemiscamingue","m","engineering","election",2022-10-03,2022,"NA","CAQ",43,NA,NA,NA,"CAN","QCASSNAT"
"raymond bernier","QC","montmorency","m","business","election",2003-04-14,2003,"2007","PLQ",37,2003-04-14,2007-02-21,"bernier","CAN","QCASSNAT"
"raymond bernier","QC","montmorency","m","business","election",2008-12-08,2008,"2012","PLQ",39,2008-12-08,2012-08-01,"bernier","CAN","QCASSNAT"
"raymond bernier","QC","montmorency","m","business","election",2014-04-07,2014,"2018","PLQ",41,2014-04-07,2018-08-23,"bernier","CAN","QCASSNAT"
"roger bertrand","QC","portneuf","m","business","election",1994-09-12,1994,"2003","PQ",35,1994-09-12,1998-11-25,NA,"CAN","QCASSNAT"
"roger bertrand","QC","portneuf","m","business","election",1998-11-30,1998,"2003","PQ",36,1998-11-30,2003-02-12,NA,"CAN","QCASSNAT"
"rosaire bertrand","QC","charlevoix","m","business","election",1994-09-12,1994,"2007","PQ",35,1994-09-12,1998-11-25,NA,"CAN","QCASSNAT"
"rosaire bertrand","QC","charlevoix","m","business","election",1998-11-30,1998,"2007","PQ",36,1998-11-30,2003-02-12,NA,"CAN","QCASSNAT"
"rosaire bertrand","QC","charlevoix","m","business","election",2003-04-14,2003,"2007","PQ",37,2003-04-14,2007-02-21,"bertrand","CAN","QCASSNAT"
"rosaire bertrand","QC","charlevoix","m","business","election",2007-03-26,2007,"2007","PQ",38,2007-03-26,2008-11-05,"bertrand","CAN","QCASSNAT"
"pascal berube","QC","matane","m","education","election",2007-03-26,2007,"NA","PQ",38,2007-03-26,2008-11-05,"berube ; m. berube ; m.berube ; mberube ; m berube","CAN","QCASSNAT"
"pascal berube","QC","matane","m","education","election",2008-12-08,2008,"NA","PQ",39,2008-12-08,2012-08-01,"berube ; m. berube ; m.berube ; mberube ; m berube","CAN","QCASSNAT"
"pascal berube","QC","matanematapedia","m","education","election",2012-09-04,2012,"NA","PQ",40,2012-09-04,2014-03-05,"berube ; m. berube ; m.berube ; mberube ; m berube","CAN","QCASSNAT"
"pascal berube","QC","matanematapedia","m","education","election",2014-04-07,2014,"NA","PQ",41,2014-04-07,2018-08-23,"berube ; m. berube ; m.berube ; mberube ; m berube","CAN","QCASSNAT"
"pascal berube","QC","matanematapedia","m","education","election",2018-10-01,2018,"NA","PQ",42,2018-10-01,2022-08-28,"berube ; m. berube ; m.berube ; mberube ; m berube","CAN","QCASSNAT"
"pascal berube","QC","matanematapedia","m","education","election",2022-10-03,2022,"NA","PQ",43,2022-10-03,2026-10-05,"berube ; m. berube ; m.berube ; mberube ; m berube","CAN","QCASSNAT"
"stephane billette","QC","huntingdon","m","business","election",2008-12-08,2008,"2018","PLQ",39,2008-12-08,2012-08-01,"billette","CAN","QCASSNAT"
"stephane billette","QC","huntingdon","m","business","election",2012-09-04,2012,"2018","PLQ",40,2012-09-04,2014-03-05,"billette","CAN","QCASSNAT"
"stephane billette","QC","huntingdon","m","business","election",2014-04-07,2014,"2018","PLQ",41,2014-04-07,2018-08-23,"billette","CAN","QCASSNAT"
"david birnbaum","QC","darcymcgee","m","journalism","election",2014-04-07,2014,"NA","PLQ",41,2014-04-07,2018-08-23,"birnbaum","CAN","QCASSNAT"
"david birnbaum","QC","darcymcgee","m","journalism","election",2018-10-01,2018,"NA","PLQ",42,2018-10-01,2022-08-28,"birnbaum ; m. birnbaum","CAN","QCASSNAT"
"michel bissonnet","QC","jeannemance","m","law","election",1994-09-12,1994,"2008","PLQ",35,1994-09-12,1998-11-25,"bissonnet","CAN","QCASSNAT"
